dTLB-loads,time,branch-load-misses,L1-dcache-load-misses,cpu-used,p
18576195528,2.242,273187577,145235485,3.212,10.24
18962060299,2.258,283244483,150901054,3.201,10.24
18583077624,2.511,314297327,142513407,3.061,10.24
18921668150,2.252,293272728,140917924,3.265,10.24
18770449344,2.529,315443210,142986946,3.175,10.24
1655824525,0.398,19945437,42922993,1.222,0.36
1624528411,0.237,13229979,52404862,1.283,0.36
1886544626,0.286,17508939,49809181,1.51,0.36
1823300670,0.294,15974839,54131333,1.531,0.36
2474421253,0.413,16624312,55050664,1.898,0.36
3739498095,0.639,19911959,57625054,2.489,0.36
7060468300,1.33,20333365,60757675,3.437,0.36
6321863947,1.058,17921162,62580510,3.567,0.36
8599189809,1.26,22592815,63928659,4.225,0.36
8086023609,1.135,18003771,65789526,4.393,0.36
12854163116,1.72,20639832,75122596,5.73,0.36
11244163802,1.394,24238774,73730509,5.784,0.36
15322729269,1.747,22564454,78285206,6.634,0.36
14853727307,1.741,25244540,86535172,7.249,0.36
15351543600,1.73,23398340,88291521,7.73,0.36
17700428512,2.054,24448392,101212214,8.452,0.36
3007606131,1.927,16338525,81793695,1.047,1.77
2957639144,0.977,17275635,78413198,1.439,1.77
3194739901,0.779,17166099,83858600,1.762,1.77
4175610429,1.065,19045960,81109920,2.163,1.77
3948652271,0.747,17750254,80943839,2.337,1.77
5851582166,1.162,19800861,80350505,2.955,1.77
9085781004,1.678,19982451,87990070,3.791,1.77
9376231215,1.483,21222354,87042409,4.205,1.77
10114801327,1.531,20740385,99832137,4.6,1.77
14022617687,1.959,22102515,97900160,5.591,1.77
7515313138,1.099,22764315,98387427,4.864,1.77
17116568673,2.162,24660238,109749926,6.752,1.77
16977777110,2.042,22803638,112448085,7.229,1.77
20292086406,2.35,23319683,120942727,8.025,1.77
10344722772,1.34,28152088,115077189,6.973,1.77
19861527015,2.216,28189589,128678108,9.066,1.77
10467968052,9.904,22521588,128542031,1.024,9.36
10605459136,5.209,23264110,129785978,1.803,9.36
10933873135,3.925,18452197,139327612,2.413,9.36
11423307666,3.102,22025472,144297858,2.995,9.36
13636274400,3.131,21888246,145694252,3.55,9.36
13038062308,2.481,20879084,149732360,4.016,9.36
18419336439,3.381,21461923,162312196,4.809,9.36
17800954179,2.752,29221874,158059630,5.183,9.36
19763727395,2.843,27635871,159579220,5.812,9.36
22186852715,3.017,26981570,176801156,6.51,9.36
20674567200,2.527,30294174,169557682,6.743,9.36
24203168908,2.854,27432647,178883209,7.592,9.36
25799593336,2.901,31283324,181284537,8.173,9.36
22401771660,2.593,35342716,191061600,8.401,9.36
18383502873,2.185,30609326,202932759,8.668,9.36
32660754733,3.07,34938823,196745089,10.001,9.36
1757262518,0.881,23970572,44941948,1.053,0.87
2290971973,0.456,20526840,51574513,1.537,0.87
1868043775,0.311,21765872,47006262,1.432,0.87
2727812282,0.262,20827090,50619681,2.009,0.87
2219628990,0.211,19260432,51000666,1.719,0.87
2312086851,0.219,26292556,43908677,1.865,0.87
2366518804,0.163,22223704,47184619,1.889,0.87
2124326291,0.171,21847746,48180411,1.763,0.87
1939868490,0.118,21444675,47605949,1.684,0.87
2177414756,0.169,22909813,47329462,1.877,0.87
2393489033,0.17,24178713,49967404,2.001,0.87
2205947421,0.118,20708070,50276683,1.854,0.87
2319084270,0.126,22428693,50366204,1.97,0.87
2589489552,0.131,22517412,50526857,2.212,0.87
2525833968,0.135,23999013,49923589,2.157,0.87
2472792494,0.125,23788489,44629294,2.189,0.87
4752973040,3.192,39210618,84958648,1.145,3.34
4214499696,1.696,44607663,84327579,1.572,3.34
4485926795,1.107,40762263,82040992,2.021,3.34
4581686784,0.892,38400017,89801514,2.271,3.34
5273707174,0.712,40517467,88021758,2.734,3.34
5016874353,0.717,43120679,87014273,2.699,3.34
4737413224,0.572,41832499,84545397,2.721,3.34
4649916050,0.534,40616716,87877115,2.804,3.34
4382322446,0.422,39737654,88583070,2.799,3.34
5061887185,0.419,44955761,88121562,3.179,3.34
5249833811,0.43,43586491,92987998,3.359,3.34
