benchmarks,input-size,threads,branch-instructions,branch-misses,cache-misses,cache-misses-percent,cache-references,cpu-cycles,instructions,instructions_per_cycle,idle-cycles-backend,idle-cycles-backend-percent,idle-cycles-frontend,idle-cycles-frontend-percent,context-switches,cpu-clock,cpu-used,cpu-migrations,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-load-misses-percent,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-load-misses-percent,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-load-misses-percent,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-load-misses-percent,dTLB-loads,iTLB-load-misses,iTLB-load-misses-percent,iTLB-loads,time,user-time,sys-time,Speedup
0,2,1,1016751670,28116423,13846804,11.646,118896356,9002840450,6856132194,0.76,4174243315,46.37,1258595650,13.98,4668,3.86574,1.04,921,0,134859,134862,3.8723,53682593,2.02,2661638101,6832,48795891,40660189,1.78,2279067930,263159,13438553,12.57,106907791,23807116,28225863,1025050130,906554,0.03,2714996993,318911,0.01,2138514997,2.173,2.136,0.018,1.1460193281178095
0,2,2,1128133857,31448373,12463567,10.575,117853264,9440295831,7017923902,0.74,4706841191,49.86,1292375141,13.69,4824,4.03605,1.353,916,0,134367,134369,4.04258,56805605,2.05,2764296683,3040,50239893,49548326,2.25,2200908573,289734,16133696,14.22,113424303,25692426,33533955,1087048349,777696,0.03,2720544727,301903,0.01,2219019438,1.446,2.311,0.017,1.7221991701244814
0,2,3,1081664285,27863675,14101156,11.834,119156621,9284199007,6881992744,0.74,4500952064,48.48,1340368400,14.44,4985,3.98574,1.484,900,0,133291,133292,3.99211,58824646,2.14,2750361796,9061,51317594,41900001,1.84,2275337069,308724,12978941,13.11,99016553,20190361,26517404,1189970272,699117,0.02,2815936640,265755,0.01,2186810254,1.019,2.19,0.012,2.443866535819431
0,2,4,1013424619,26717642,13383033,11.764,113759643,9034650424,7095378312,0.79,4463566281,49.4,1224860466,13.56,4251,3.86493,1.608,899,0,134109,134110,3.87146,56980599,2.13,2676750665,4086,53111377,46341108,2.17,2137398421,308766,14172953,14.78,95870214,19122323,25390622,1120090435,828209,0.03,2709035462,298958,0.01,2100585976,0.853,2.175,0.011,2.9194607268464243
0,2,5,1068783672,26552353,13306780,11.68,113925564,8934114412,6878594357,0.77,4396350932,49.21,1126191617,12.61,4852,3.81688,1.681,989,0,133811,133812,3.82339,54388712,1.96,2770115166,3138,51111961,37291231,1.82,2051478989,317027,13250234,12.6,105186851,22090466,26250346,1052863087,801442,0.03,2654086118,317433,0.01,2189372691,0.734,2.144,0.016,3.3927792915531336
0,2,6,1083306774,26930193,13799312,12.695,108697006,9378113925,7085016806,0.76,3974353139,42.38,1078510135,11.5,5004,4.06629,1.839,886,0,134121,134122,4.07268,51099840,1.7,3003020912,3917,49402854,34900451,1.46,2384258778,273006,11965856,11.68,102419758,20663833,25592377,1100080104,895093,0.03,2787769918,345103,0.02,2243133783,0.655,2.126,0.013,3.8019847328244274
0,2,7,1281011633,25213257,15060500,12.527,120222092,9894844918,7240475165,0.73,4051106666,40.94,1347722487,13.62,9852,4.29491,1.987,907,0,133795,133797,4.30142,56896880,1.82,3128562521,5442,48395796,30944738,1.21,2547469861,248696,11886767,11.66,101973092,21559996,23752475,1318738569,821247,0.03,3119759230,274738,0.01,2461508318,0.6,2.11,0.017,4.1505
0,2,8,1018013806,25914885,14533333,12.55,115801319,9025306437,6760003270,0.75,3844682248,42.6,1171310293,12.98,5472,3.8967,1.774,950,0,134224,134225,3.90351,52931436,1.87,2829765361,5344,48880242,35649032,1.65,2166349937,316087,13245895,12.78,103644297,19907698,23644557,1050411316,809261,0.03,2766881089,273605,0.01,2144293275,0.582,2.102,0.015,4.278865979381443
0,2,9,1132887044,22101172,14559682,13.625,106862166,8874865697,6929163971,0.78,4292858699,48.37,1080764425,12.18,4618,3.81063,1.841,907,0,133793,133794,3.81717,55776268,2.01,2778734914,3222,49576275,39168056,1.82,2148057458,276087,14988201,13.97,107312302,20588640,25976918,1014130229,844542,0.03,2677340491,290674,0.01,2210289189,0.526,2.1,0.016,4.734410646387833
0,2,10,1020329950,26978911,15614315,13.886,112447745,9175944759,6736357997,0.73,3671453731,40.01,1111407808,12.11,5566,3.97341,1.944,914,0,133997,133998,3.97988,51782392,1.79,2895614391,5291,46034407,30809611,1.37,2251430684,270917,11625129,12.06,96360667,17512206,22775013,1085428335,874352,0.03,2779328374,371613,0.02,2222354349,0.501,2.08,0.028,4.97065868263473
0,2,11,1343477821,24727861,16310577,13.259,123010513,10124507278,7548740419,0.75,4032883092,39.83,1136693418,11.23,9924,4.40865,2.143,927,0,134176,134178,4.41507,54203545,1.64,3297117413,5385,48528989,29036577,1.08,2680878059,281979,11300306,11.49,98376214,19038358,21953516,1453152533,810251,0.03,3223137268,292277,0.01,2588185342,0.479,2.083,0.02,5.198956158663883
0,2,12,1018352503,22326854,15226127,13.737,110837372,8664052548,6728695104,0.78,4324651372,49.91,981402789,11.33,4192,3.71132,1.854,919,0,133768,133769,3.7177,55420945,2.04,2716379553,3313,49506996,31515134,1.51,2083122505,307705,14320124,13.61,105249518,21649564,22385960,957433675,854610,0.03,2562331663,309632,0.01,2077696375,0.459,2.079,0.022,5.425490196078431
0,2,13,1035484314,22225085,13399640,12.367,108347255,8772305294,7003981862,0.8,4349142171,49.58,1033038201,11.78,4680,3.75755,1.892,897,0,134064,134065,3.76441,56627685,2.07,2730512610,3736,49795757,36436872,1.76,2074483837,327307,15188366,14.22,106832131,21068276,22231868,1098523740,843206,0.03,2709436163,315523,0.01,2118641802,0.445,2.078,0.021,5.596179775280898
0,2,14,1010630999,22190309,13065824,11.402,114596412,8667295599,6374578120,0.74,3716764421,42.88,1248727040,14.41,4775,3.74721,1.898,1024,0,134432,134433,3.75402,53448418,1.98,2701498385,5645,49392697,33413085,1.59,2107638917,243194,11877510,11.66,101825342,21454495,21917902,995708052,918950,0.03,2701192396,306942,0.01,2119912196,0.428,2.066,0.025,5.8184579439252335
0,2,15,1420077946,22133257,13292609,12.27,108331322,9650826259,7137947921,0.74,3909914971,40.51,1132723273,11.74,9721,4.232399999999999,2.123,933,0,134527,134528,4.23864,54743959,1.76,3111360734,5527,48087614,33948340,1.38,2457008570,300001,12571321,11.79,106629964,22434175,24186261,1153486906,936457,0.03,2973937509,334021,0.01,2643562398,0.422,2.078,0.021,5.901184834123223
0,2,16,1028545435,20865201,15363679,13.447,114249412,9006133737,7042642732,0.78,4293521949,47.67,1252252497,13.9,5665,3.8821,1.99,929,0,134172,134173,3.88863,56016138,2.03,2763406791,5558,45351715,28921644,1.24,2340552343,258838,13137639,12.68,103629735,21039151,20666419,1165616893,836602,0.03,2852196664,260596,0.01,2114694445,0.396,2.06,0.017,6.288636363636363
1,0,1,794115997,17115448,14917750,14.677,101637282,5586577291,3807106549,0.68,1792027742,32.08,1144443034,20.49,7606,2.47606,1.14,897,0,135819,135820,2.48272,41513765,2.44,1699073531,9642,39877562,34495068,2.12,1626197080,607741,11845520,14.28,82976023,22683000,16342833,825402373,882128,0.05,1743673105,285750,0.02,1561774245,0.513,0.44,0.025,0.9744639376218325
1,0,2,667003357,15789213,13908920,15.322,90776309,5137574983,3705210152,0.72,1835069103,35.72,1100864684,21.43,4842,2.25115,1.174,941,0,135928,135929,2.25801,47070823,3.02,1560175930,3391,47396146,34991705,2.75,1270784281,661622,14593574,16.89,86418013,19160487,15998556,730857083,701949,0.05,1556609465,261611,0.02,1372630618,0.315,0.43,0.028,1.5869841269841272
1,0,3,591169242,16900638,14912634,15.744,94718568,5200648729,3408795445,0.66,1568901040,30.17,963351854,18.52,5116,2.30015,1.243,975,0,135882,135883,2.3072,36187644,2.17,1666869605,4386,37907097,28148229,1.94,1447919807,735025,14472029,15.6,92741045,24879534,18085855,590588304,981772,0.06,1540580814,330407,0.03,1306838936,0.249,0.42,0.03,2.0076305220883537
1,0,4,533510273,16277246,14048851,16.214,86644805,4890339647,3358860789,0.69,1520986225,31.1,989374080,20.23,5420,2.14645,1.178,927,0,135936,135937,2.15334,39289232,2.51,1563610041,4074,43369439,31626728,2.48,1272891302,393685,13232875,14.86,89065678,23526052,15791091,552503947,992350,0.07,1345398561,309552,0.03,1194169372,0.223,0.417,0.037,2.24170403587444
1,0,5,763147953,16107407,13121255,15.123,86761892,5474697232,3893025450,0.71,1667276920,30.45,1011168600,18.47,8916,2.44794,1.348,903,0,135934,135935,2.45501,42367346,2.39,1776345794,4417,43987972,33450606,2.31,1446175222,412632,15566830,17.32,89892699,21605117,17318031,762090205,863812,0.05,1652830607,316755,0.02,1517590341,0.206,0.415,0.049,2.426699029126214
1,0,6,683119583,14930385,13526486,13.934,97073939,5269209815,3796871690,0.72,1821231865,34.56,1185771357,22.5,6730,2.29912,1.275,913,0,135856,135858,2.30619,49451633,3.39,1457811073,6640,48251838,36200993,2.53,1430741854,434481,13654546,17.86,76460948,18686002,14590967,738918254,766469,0.05,1625839376,254237,0.02,1364142384,0.195,0.436,0.04,2.563589743589744
1,0,7,566177833,15733189,14126374,14.465,97657794,4975624515,3205694128,0.64,1568597531,31.53,1181754771,23.75,5733,2.17972,1.227,938,0,135917,135918,2.18729,44757246,3.36,1332710818,6931,41309624,32312757,2.35,1375969556,394642,12841160,15.84,81055207,19451398,15440356,615478302,801897,0.05,1533139293,287405,0.02,1226365531,0.189,0.461,0.04,2.644973544973545
1,0,8,709415224,16320721,11984474,14.881,80534374,5252866255,3646960410,0.69,1355542376,25.81,985953874,18.77,6623,2.34988,1.313,973,0,135932,135934,2.35723,40136232,2.48,1618824528,4135,45098177,37883949,2.83,1339666116,789501,15611095,15.98,97711189,21590162,17134526,616264737,890441,0.06,1465988110,307582,0.02,1434949779,0.185,0.495,0.028,2.7021621621621628
1,0,9,738481771,18015654,13335733,15.585,85569561,5595378649,3800730656,0.68,1371607154,24.51,1048874980,18.75,7962,2.51121,1.405,948,0,135988,135989,2.51886,36300039,1.98,1831630977,4918,39716693,30547418,1.97,1547213394,420832,14040854,14.71,95423999,21502632,16686048,656159454,842710,0.05,1558034601,309773,0.02,1513932309,0.18,0.46,0.059,2.7772222222222225
1,0,10,543812797,15633413,12935696,13.531,95600310,4761080770,3083374858,0.65,1432763305,30.09,1170586292,24.59,5423,2.12522,1.192,916,0,135828,135830,2.13289,40030889,2.98,1344302142,5892,40351674,32089883,2.76,1163178016,545411,14010731,16.44,85237814,22254576,16149126,531227825,937864,0.07,1440772030,277298,0.02,1199601033,0.177,0.468,0.053,2.824293785310735
1,0,11,813191289,19686428,16993654,16.992,100012288,6106353498,3952375581,0.65,1373726331,22.5,1039761756,17.03,9470,2.73989,1.518,954,0,136030,136032,2.7475500000000004,37052108,1.78,2077833628,5126,40825971,30834209,1.87,1644676630,751375,13009068,14.62,88979129,18791087,15385706,893771563,909883,0.05,1780439559,317188,0.02,1642824291,0.174,0.478,0.056,2.872988505747127
1,0,12,537212545,15633195,13738840,14.892,92259476,4810072974,3023166906,0.63,1337346329,27.8,1077363692,22.4,5667,2.15385,1.219,989,0,135972,135973,2.1620100000000004,39164915,2.84,1377394801,5809,44022471,35612554,2.89,1232502789,503399,13791708,15.58,88497529,21388935,15862419,538436455,879762,0.06,1474136472,301894,0.03,1191310531,0.174,0.503,0.041,2.872988505747127
1,0,13,707011399,15243182,14378472,14.094,102015081,5513051507,3555185586,0.64,1640529678,29.76,1340734272,24.32,7264,2.4229000000000003,1.343,1053,0,136180,136181,2.43098,50350576,3.37,1494358979,9382,46396946,33194506,2.05,1615981814,476133,12245209,15.81,77428025,19687593,14581405,767229462,781358,0.05,1704289629,254257,0.02,1399885614,0.176,0.474,0.063,2.8403409090909095
1,0,14,602333721,14496749,14487581,15.327,94523615,5082417945,3279522198,0.65,1548980338,30.48,1207559255,23.76,6392,2.21894,1.256,1013,0,135609,135611,2.22703,46249248,3.38,1366788934,7270,48027820,41092543,3.16,1299496762,331865,14330280,17.69,80991074,19397707,14264399,677460096,712559,0.05,1537947561,247477,0.02,1229928214,0.172,0.498,0.049,2.90639534883721
1,0,15,705064712,15571913,12285855,14.807,82973434,5109718995,3230061838,0.63,1480448623,28.97,1139529349,22.3,6649,2.27036,1.266,1242,0,135950,135951,2.27869,41818590,2.67,1565327755,5022,42672449,32999832,2.66,1242792539,385152,13605052,14.38,94604616,24402232,19103378,540469689,864237,0.06,1422316419,309189,0.02,1362448180,0.188,0.492,0.058,2.65904255319149
1,0,16,593767669,17754985,14433972,13.904,103813109,5131450036,3144899119,0.61,1457473142,28.4,1170119973,22.8,5920,2.30398,1.269,1087,0,136018,136021,2.31222,42989554,2.94,1462233957,5752,41296413,30896814,2.16,1430450625,409006,12065071,15.68,76946918,22799638,14519050,621987331,956884,0.06,1503510090,280403,0.02,1306561141,0.176,0.485,0.058,2.8403409090909095
1,1,1,855891726,19344797,13940386,12.438,112077781,6951664497,5750358159,0.83,2842952674,40.9,1109170325,15.96,4793,3.01009,0.977,949,0,137428,137429,3.01689,67769924,3.09,2194071201,3019,72423956,34010807,2.05,1655414858,721189,13747967,11.76,116929625,25422217,19157029,769611180,921206,0.05,2047106118,283046,0.02,1705375664,1.419,1.326,0.034,1.0135306553911205
