cache-misses,time,branch-load-misses,dTLB-load-misses,cpu-cycles,L1-icache-load-misses,s
23302018,0.465,63123539,1157642,11304129539,36491281,0.19
69058672,6.038,208487925,1284985,37260121160,46293967,0.62
65213175,3.183,199608180,1356510,38711207739,62243373,0.62
63624465,2.229,203409991,1320953,37773356162,58696528,0.62
66696034,1.732,203448283,1398049,38662152362,49547075,0.62
67783116,1.513,208563424,1273119,40202340313,53918649,0.62
63206227,1.358,204325115,1583096,41387532106,60076958,0.62
67811184,1.301,204913780,1363816,41748781013,52428833,0.62
70447099,1.239,209152229,1446604,39176689905,50366590,0.62
67952984,1.336,208679674,1240165,39617949206,55121616,0.62
65201774,1.336,205995005,1532372,40742993665,59974015,0.62
66290584,1.424,208087908,1513271,41180117037,53964956,0.62
67598159,1.369,208292490,1757268,43059991102,48697695,0.62
68691554,1.281,203658410,1645632,41311575202,47374732,0.62
68462356,1.262,208428435,1655323,45847559676,48603193,0.62
66641193,1.25,207918329,1589427,42503467727,51469064,0.62
65639224,1.333,203417908,1728684,43131768278,45974258,0.62
15777513,0.606,28009949,881390,5585550339,30539904,0.15
14990954,0.41,29605331,846469,5238948373,33219194,0.15
15259547,0.317,30992040,807235,5657852472,36540264,0.15
16463269,0.283,30479527,1065582,5933283134,33134815,0.15
16728401,0.299,31096724,1023693,6381095648,37707671,0.15
17681328,1.414,44245234,883100,7120827279,32503205,0.34
17824134,0.899,42894653,954657,7208537019,33248360,0.34
18262292,0.639,44219567,824882,7574900954,38455208,0.34
21330645,0.543,47706762,1020393,8858445924,34819716,0.34
22108793,0.489,47890835,972569,9048492413,37228130,0.34
27251438,4.027,88094575,886699,12943728961,36035468,1.02
28294024,2.609,88104511,909020,14263510695,38354815,1.02
27790273,1.802,97601455,984902,14793850425,50004412,1.02
26325384,1.414,100685848,1243749,16091342257,48719003,1.02
28991971,1.276,98404181,1346318,19452533731,43587925,1.02
13838755,0.829,38037859,847262,7505653379,41051824,0.11
14507316,0.521,33146059,879470,5924349807,39710902,0.11
13760778,0.421,35523141,813477,5960859935,37279782,0.11
16602953,0.443,46875034,878668,7291260316,41414372,0.11
15736536,0.418,41560091,724905,6369633938,45775751,0.11
15281695,0.328,39766249,897981,6143902143,34548457,0.11
15286022,0.395,41195270,909628,6305400100,42538496,0.11
12717336,0.3,34916326,846084,7140733500,37166968,0.11
15959840,0.385,46434234,929937,6775440308,44221543,0.11
15710811,0.311,38797415,901281,6177064639,36981225,0.11
14920565,0.299,25868648,817602,6348386851,33483803,0.11
13965409,0.382,48029180,859006,7220678899,45706496,0.11
16187984,0.374,35454804,848906,6694133968,46349616,0.11
17786123,0.313,41342013,850114,6541726956,32843010,0.11
13982684,0.315,42560371,926592,6969992836,36847617,0.11
15048496,0.315,43255943,818214,6991636647,39533101,0.11
15068681,3.286,121466306,776815,11458442942,60032386,0.39
19214696,1.8,100440159,1010966,11584900030,38460984,0.39
17688463,1.388,91437911,907147,11884902206,42513368,0.39
16285591,1.233,106132916,793714,12094186192,59329438,0.39
17593233,0.963,97481854,919990,11477673842,35481067,0.39
17065928,1.049,103936427,899694,11885643445,60475371,0.39
14960550,0.879,88629555,871524,11823417524,36437486,0.39
18615686,1.018,106002210,923417,12164916720,58408598,0.39
22676920,0.844,93003216,957243,12223938679,34609591,0.39
17491111,0.861,88224836,1031335,12441409068,45905793,0.39
19137241,0.829,92509659,899351,12783535937,35461154,0.39
20702359,0.842,100717316,923187,12203939514,34038054,0.39
17767403,0.89,94155117,1026966,12649689543,43367450,0.39
16606322,0.853,94425086,983380,12945514536,44755980,0.39
19256082,0.982,109751062,954436,13176519587,52729800,0.39
23361137,0.841,84673352,932877,12399791549,37893824,0.39
20853961,10.985,289718773,946891,30726141835,42935397,1.09
22854003,5.984,297048056,907663,30739010371,41057210,1.09
25650290,4.493,286313530,967172,33073181939,50354325,1.09
22383711,3.373,299540973,857640,30967022061,43846428,1.09
23149136,2.918,282798274,931799,31930585845,36195776,1.09
25510093,2.52,286764370,1025091,31185203186,42179161,1.09
23074252,2.805,316306449,951390,32360088169,87814759,1.09
21671812,2.644,317996179,1036419,32772377505,89207331,1.09
27200132,2.305,286690396,988695,31313807613,43667359,1.09
21364916,2.286,277151720,1059894,31398158426,54581312,1.09
26897621,2.548,301579410,1206873,33158773160,75440102,1.09
22845651,2.242,273187577,1175413,32005435260,54078251,1.09
22353767,2.258,283244483,1046426,31845533787,44431862,1.09
25017606,2.511,314297327,1009522,32158279848,78990415,1.09
23624940,2.252,293272728,1168553,32163161440,48204756,1.09
23887975,2.529,315443210,1253078,33403112568,86268199,1.09
11900131,0.398,19945437,999140,5143139942,28365927,0.03
13436802,0.237,13229979,749380,5135960935,34854823,0.03
13566226,0.286,17508939,861075,6084462580,36841007,0.03
15338554,0.294,15974839,753217,6302812545,30725300,0.03
14915831,0.413,16624312,919231,8228804555,32802966,0.03
14516746,0.639,19911959,800327,11962047772,37041764,0.03
16566368,1.33,20333365,812943,21411987386,36236881,0.03
17590388,1.058,17921162,871692,20550063590,38427185,0.03
16453940,1.26,22592815,861105,25979659266,42849788,0.03
19226092,1.135,18003771,876586,26056183248,41389503,0.03
21123813,1.72,20639832,769672,41108043845,47841692,0.03
20050190,1.394,24238774,928836,38083764803,50305578,0.03
17596277,1.747,22564454,941910,48565661698,54679065,0.03
21631158,1.741,25244540,886694,53557112259,55466260,0.03
25919164,1.73,23398340,946045,57155262358,60618986,0.03
26334220,2.054,24448392,807996,68516562244,64087646,0.03
26705395,1.927,16338525,749322,8267752035,31939874,0.14
17297581,0.977,17275635,849963,8146781652,31671798,0.14
16962926,0.779,17166099,775356,9208946824,34366218,0.14
16905627,1.065,19045960,788842,12413745752,32200995,0.14
16910775,0.747,17750254,882709,12070381811,35010768,0.14
17770773,1.162,19800861,901226,17657303906,34737431,0.14
18882333,1.678,19982451,814519,26649825207,43102939,0.14
18095781,1.483,21222354,855079,28299364171,46575419,0.14
21108015,1.531,20740385,1037884,31701959721,42551064,0.14
21224222,1.959,22102515,918699,43366469526,49521378,0.14
22478449,1.099,22764315,972654,28963481988,48019233,0.14
23524135,2.162,24660238,942475,55699308779,59271949,0.14
25825059,2.042,22803638,1009632,58334255995,51976085,0.14
27743790,2.35,23319683,848598,70031955742,59448295,0.14
24089472,1.34,28152088,1306974,45724806770,60948494,0.14
28007655,2.216,28189589,1119228,77191579228,68430143,0.14
75381745,9.904,22521588,803192,27384929380,44203603,0.54
78743163,5.209,23264110,940399,28424735534,41043527,0.54
87454115,3.925,18452197,908783,30696931803,31864026,0.54
86972898,3.102,22025472,826629,32332297438,37373309,0.54
83781549,3.131,21888246,902561,37894933178,48864306,0.54
83342482,2.481,20879084,871674,37642730969,37952869,0.54
77082125,3.381,21461923,855123,53072900915,47587391,0.54
65678632,2.752,29221874,941913,50835200917,50085893,0.54
56223302,2.843,27635871,977748,58048084244,51478727,0.54
50558394,3.017,26981570,884159,67381861392,57676733,0.54
45828144,2.527,30294174,1037080,62788749654,54805288,0.54
45718680,2.854,27432647,804565,76159608398,56927948,0.54
43096836,2.901,31283324,1025033,82784767249,60660227,0.54
46134921,2.593,35342716,1072196,79620964905,59690469,0.54
43779099,2.185,30609326,956314,74680040498,60365911,0.54
42412340,3.07,34938823,1043418,105734669311,65449520,0.54
13555369,0.881,23970572,881100,5739333525,34730096,0.01
14241870,0.456,20526840,719149,6772789521,32108703,0.01
14125585,0.311,21765872,751093,5873995658,37448881,0.01
13513333,0.262,20827090,741119,7947051109,32053694,0.01
12484103,0.211,19260432,734227,6676015508,32253533,0.01
14084473,0.219,26292556,835947,7132321572,34754159,0.01
12614972,0.163,22223704,790229,7051221542,33900878,0.01
14178410,0.171,21847746,727845,6709814154,39023549,0.01
12607038,0.118,21444675,785883,6186607306,35486921,0.01
15398106,0.169,22909813,904560,7052430987,36043640,0.01
15359934,0.17,24178713,727527,7632429032,34286507,0.01
14784243,0.118,20708070,762506,6836943493,35360160,0.01
14349712,0.126,22428693,868250,7276524457,30956789,0.01
14652515,0.131,22517412,789738,8136440183,34812948,0.01
13999799,0.135,23999013,790167,7986920233,38740642,0.01
17001538,0.125,23788489,871870,8097789423,33999552,0.01
12003448,3.192,39210618,864146,12493509153,40925667,0.04
12770205,1.696,44607663,929034,11683849195,43279374,0.04
16642274,1.107,40762263,832279,12189077278,39354312,0.04
12077104,0.892,38400017,846915,12676435305,43439433,0.04
13351908,0.712,40517467,709033,13969633735,41014289,0.04
14325794,0.717,43120679,725771,13860990690,40284410,0.04
15936268,0.572,41832499,821027,13095737153,36084782,0.04
14813483,0.534,40616716,865510,12942175084,37639009,0.04
13832932,0.422,39737654,857545,12331115999,43034346,0.04
15832670,0.419,44955761,826602,14081810104,39563139,0.04
15976605,0.43,43586491,723805,15058173435,42150468,0.04
16758292,0.326,37669909,793906,13208358642,36665595,0.04
17342134,0.323,41280266,767371,13079127883,36765051,0.04
14125432,0.322,42119458,886976,14257323304,42221028,0.04
15244695,0.326,43340636,799055,14161333086,35391385,0.04
12161350,0.241,38446350,909191,12718337211,43518137,0.04
13231670,13.271,138788974,830548,35418640225,106770618,0.13
14502590,6.481,107483728,780830,34363711059,52732607,0.13
14700394,4.384,114749575,874860,35162405804,59724383,0.13
14383092,3.393,112730764,808097,36557186597,57189171,0.13
16028267,2.817,118452076,749563,37513155758,66762430,0.13
15670241,2.436,120113582,1067391,38528089068,63890008,0.13
17846839,2.034,111143252,903203,37349862927,51833441,0.13
15521042,1.833,113613513,837515,37655416642,58632883,0.13
15220868,1.678,110608674,741834,37799741511,56646438,0.13
18192764,1.426,114247373,933288,37370240593,58347449,0.13
20257804,1.447,119428740,826234,40691908734,66928071,0.13
16701288,1.23,117170887,829721,38329882729,63921869,0.13
20593493,1.408,124297372,812767,43694335907,70511671,0.13
20534360,1.252,122498713,858494,43338628709,65828037,0.13
18609051,1.037,114463347,871672,39337190018,51262379,0.13
23368325,1.064,118831158,922811,42109635671,59275316,0.13
14289135,1.131,19186757,849492,6324150115,31451815,0.07
14550554,0.643,16310151,919570,7345439635,33405708,0.07
13811932,0.471,18096727,947153,6540717958,30671929,0.07
15571874,0.391,15228544,856254,6721279293,30294062,0.07
14986369,0.348,15698598,918542,7789717016,29986989,0.07
16266085,0.316,15801179,866866,7055517509,28819446,0.07
13571634,0.321,16459033,878369,6675866182,37242278,0.07
17041843,0.306,14601522,990810,7874205217,31061901,0.07
15082127,0.286,16299476,1120440,6771879888,36226217,0.07
13692122,0.288,19692316,1116230,7277812929,33459797,0.07
15651382,0.277,17870928,1013065,6988220440,34862072,0.07
14972139,0.277,14783066,979656,7769648957,32314287,0.07
15384967,0.243,15940686,1001698,7403138721,32360181,0.07
15177297,0.28,17841266,1145325,7645048325,38649108,0.07
15532239,0.263,19416853,1113140,7466947026,33769212,0.07
15708690,0.271,16031167,1089587,7337606306,40571034,0.07
16041880,3.442,17576490,1003655,12490802003,35575123,0.21
16501438,1.87,18077755,933182,12337317105,36225421,0.21
16495069,1.352,18503863,974952,12192534205,33763852,0.21
15077361,1.073,18363796,964712,12740749234,39564353,0.21
16920506,0.934,17807611,988929,12542529674,38318227,0.21
16568790,0.814,18613535,1061881,12783003693,38124840,0.21
18909272,0.773,18615705,1270191,12201007032,34993086,0.21
17489753,0.715,19801788,1285146,12521985524,37632245,0.21
16046551,0.675,20393671,1194264,12353613628,37320224,0.21
15953780,0.669,22117624,1238387,12681103710,37754256,0.21
16272710,0.666,19444608,1270868,12367227646,38074768,0.21
19170237,0.604,18496863,1503016,13398451758,37178734,0.21
