L1-icache-load-misses-percent,iTLB-load-misses-percent,L1-icache-loads,cpu-clock,instructions,iTLB-loads,cpu-cycles,dTLB-loads,L1-dcache-loads,user-time,task-clock,input-size
1.57,0.01,3468840994,6.99,6005507565,3222134449,16289971004,3054896493,3216036541,5.1,7.0,1
1.55,0.01,3481373960,7.23,6681371244,3567931634,16842114573,3165114958,3392061733,5.12,7.24,1
3.21,0.01,3925215776,7.91,6898470994,4004520628,18323735010,3528388991,3621620496,5.56,7.92,1
2.77,0.01,3933719583,7.83,6368583508,3745011993,18243170840,3421225744,3491090425,5.55,7.83,1
1.53,0.01,3373323727,7.11,6317554983,3372094711,16579566452,3139043510,3220334311,5.15,7.12,1
1.84,0.01,3439079739,7.12,5976977356,3254854730,16634884102,3164969085,3090371524,5.23,7.12,1
2.36,0.01,3627841380,7.67,5877985937,3386048797,17942891266,3051526535,3061783758,5.81,7.67,1
1.42,0.01,5756855493,13.95,10383139487,5952551853,32901579846,5574130822,5357315485,11.58,13.96,2
1.72,0.0,6450185414,14.57,10196925928,6070731487,34334989979,5477410303,5370166517,12.26,14.58,2
1.23,0.0,6191074251,14.07,10508504177,5981657030,33057000337,5515653328,5577231853,11.73,14.08,2
1.3,0.0,5938720787,15.12,10175211541,5776247487,35710951159,5430600283,5286433985,12.98,15.13,2
1.42,0.0,6008624166,14.1,10161082335,5735650846,32949767825,5408856007,5250164647,11.91,14.11,2
1.88,0.0,6293544670,14.64,10842584781,6457089169,34221380278,5850046212,5612103648,12.14,14.64,2
1.17,0.0,6383827697,14.36,11393223637,6137502049,33696873455,5693865616,6011398093,11.7,14.36,2
1.36,0.0,6228095056,14.16,10623735997,5947496117,33285286400,5450452730,5670776039,11.8,14.17,2
1.52,0.0,6202976451,15.84,11186929500,6446897775,36941198209,5778106084,5721436473,13.09,15.85,2
1.37,0.0,5934144415,13.87,10213078726,5739658821,32436325981,5320859433,5334441079,11.77,13.88,2
1.15,0.01,6180258816,14.64,11025263181,6284160674,34245361809,5947643882,5684862142,12.01,14.65,2
1.5,0.01,5958353522,13.91,10189488241,5900100434,32728628775,5331278711,5190784035,11.92,13.92,2
1.3,0.01,5647843639,13.8,10105294968,5747318594,32572456911,5407816305,5183206736,11.79,13.81,2
1.27,0.0,5907916407,13.94,10594777421,6097886191,32568705421,5438272409,5491699730,11.65,13.95,2
1.43,0.0,5974384823,13.99,10327758487,5894518250,32716083459,5314956416,5410031271,11.88,14.0,2
1.73,0.0,6034600701,14.3,10269057439,6056281502,33737331063,5567416251,5292887749,12.04,14.31,2
2.29,0.02,1662520229,2.71,4471938199,1741162606,6184100981,2075856626,2221477085,0.68,2.72,0
1.83,0.02,1921612571,2.95,4655718459,2031934860,6564909841,2244903349,2389301441,0.67,2.95,0
1.7,0.02,2034028763,3.17,4773046102,2031363682,7008830406,2321020879,2511227866,0.74,3.17,0
2.17,0.01,1982400835,3.15,4718295940,2098226022,7124250619,2432269289,2472742988,0.71,3.16,0
2.12,0.01,1934622376,3.03,4357207228,1873054238,6814854379,2252689587,2299444547,0.75,3.04,0
1.84,0.02,2141870832,3.41,4802327729,2089911930,7585367794,2393689941,2634010831,0.79,3.42,0
2.09,0.02,2137825652,3.79,5108290899,2283955545,8184225015,2758459129,2894281335,0.77,3.8,0
2.33,0.02,1919558568,3.23,4677303687,1831222046,7294972595,2289987702,2311092675,0.81,3.24,0
